,song,lyrics
154,The Man Who Never Lied,"oh oh oh oh oh|-|oh oh oh oh oh|-|oh oh oh oh oh|-|In the middle of Hollywood boulevard|-|Screaming at each other, screaming at each other|-|Like oh, oh, oh, can't take it anymore oh oh oh|-|Like a tragedy, like a dark comedy|-|Laughing at each other, laughing at each other, like oh oh oh|-|It isn't funny anymore, oh oh|-|I was the man who never lied|-|I never lied until today|-|But I just couldn't break your heart|-|Like you did mine yesterday|-|I was the man who never lied, oh oh oh|-|I was the man who never lied, oh oh oh, yeah|-|Sometimes honesty is the worst policy|-|Happy ever after, happy ever after|-|Let it go, go, go, you never need to know, oh oh|-|I don't wanna be picking up all of these tiny litle pieces, tiny litle pieces|-|Of your heart, oh, oh, don't do it anymore, oh, oh|-|I was the man who never lied|-|I never lied until today|-|But I just couldn't break your heart|-|Like you did mine yesterday|-|I was the man who never lied, oh oh oh|-|I was the man who never lied, oh oh oh|-|I was the... yeah, yeah, oh, oh|-|In the middle of Hollywood boulevard|-|What am I doing in Hollywood boulevard?|-|In the middle of Hollywood boulevard|-|Screaming at each other, screaming|-|I was the man who never lied|-|I never lied until today|-|But I just couldn't break your heart|-|Like you did mine yesterday|-|I was the man|-|I was the man who never lied|-|I never lied until today|-|But I just couldn't break your heart|-|Like you did mine yesterday|-|I was the man who never lied, oh oh oh|-|I was the man who never lied, oh oh oh"
155,The Sun,"After school, walkin' home|-|Fresh dirt under my fingernails and|-|I can smell hot asphalt|-|Cars screech to a halt to let me pass|-|And I cannot remember|-|What life was like through photographs|-|And trying to recreate images|-|Life gives us from our past|-|And sometimes it's a sad song|-|But I|-|Cannot forget, refuse to regret|-|So glad I met you and|-|Take my breath away, make everyday|-|Worth all of the pain that I've gone through|-|And mama, I've been cryin'|-|'Cause things ain't how they used to be|-|She said, the battle's almost won|-|And we're only several miles from the sun|-|Woah, yeah|-|And I'm movin' on down my street|-|I see people I won't ever meet|-|I think of her, take a breath|-|Feel the beat in the rhythm of my steps|-|And sometimes it's a sad song|-|Oh, but I|-|Cannot forget, refuse to regret|-|So glad I met you and|-|Take my breath away, make everyday|-|Worth all of the pain that I've gone through|-|And mama, I've been cryin'|-|'Cause things ain't how they used to be|-|She said, the battle's almost won|-|And we're only several miles from the sun|-|The rhythm of the conversation|-|The perfection of her creation|-|The sex she slipped into my coffee|-|The way she felt when she first saw me|-|Hate to love and love to hate her|-|Like a broken record player|-|Back and forth and here and gone|-|And on and on and on and on|-|I cannot forget, refuse to regret|-|So glad I met you and|-|Take my breath away, make everyday|-|Worth all of the pain that I've gone through|-|And mama, I've been cryin'|-|'Cause things ain't how they used to be|-|She said, the battle's almost won|-|And we're only several miles|-|She said, the battle's almost won|-|And we're only several miles from the sun"
156,The Sun (Alternate Mix),"After school, walkin' home|-|Fresh dirt under my fingernails and|-|I can smell hot asphalt|-|Cars screech to a halt to let me pass|-|And I cannot remember|-|What life was like through photographs|-|And trying to recreate images|-|Life gives us from our past|-|And sometimes it's a sad song|-|But I|-|Cannot forget, refuse to regret|-|So glad I met you and|-|Take my breath away, make everyday|-|Worth all of the pain that I've gone through|-|And mama, I've been cryin'|-|'Cause things ain't how they used to be|-|She said, the battle's almost won|-|And we're only several miles from the sun|-|Woah, yeah|-|And I'm movin' on down my street|-|I see people I won't ever meet|-|I think of her, take a breath|-|Feel the beat in the rhythm of my steps|-|And sometimes it's a sad song|-|Oh, but I|-|Cannot forget, refuse to regret|-|So glad I met you and|-|Take my breath away, make everyday|-|Worth all of the pain that I've gone through|-|And mama, I've been cryin'|-|'Cause things ain't how they used to be|-|She said, the battle's almost won|-|And we're only several miles from the sun|-|The rhythm of the conversation|-|The perfection of her creation|-|The sex she slipped into my coffee|-|The way she felt when she first saw me|-|Hate to love and love to hate her|-|Like a broken record player|-|Back and forth and here and gone|-|And on and on and on and on|-|I cannot forget, refuse to regret|-|So glad I met you and|-|Take my breath away, make everyday|-|Worth all of the pain that I've gone through|-|And mama, I've been cryin'|-|'Cause things ain't how they used to be|-|She said, the battle's almost won|-|And we're only several miles|-|She said, the battle's almost won|-|And we're only several miles from the sun"
157,The Sun (Demo),"After school, walkin' home|-|Fresh dirt under my fingernails and|-|I can smell hot asphalt|-|Cars screech to a halt to let me pass|-|And I cannot remember|-|What life was like through photographs|-|And trying to recreate images|-|Life gives us from our past|-|And sometimes it's a sad song|-|But I|-|Cannot forget, refuse to regret|-|So glad I met you and|-|Take my breath away, make everyday|-|Worth all of the pain that I've gone through|-|And mama, I've been cryin'|-|'Cause things ain't how they used to be|-|She said, the battle's almost won|-|And we're only several miles from the sun|-|Woah, yeah|-|And I'm movin' on down my street|-|I see people I won't ever meet|-|I think of her, take a breath|-|Feel the beat in the rhythm of my steps|-|And sometimes it's a sad song|-|Oh, but I|-|Cannot forget, refuse to regret|-|So glad I met you and|-|Take my breath away, make everyday|-|Worth all of the pain that I've gone through|-|And mama, I've been cryin'|-|'Cause things ain't how they used to be|-|She said, the battle's almost won|-|And we're only several miles from the sun|-|The rhythm of the conversation|-|The perfection of her creation|-|The sex she slipped into my coffee|-|The way she felt when she first saw me|-|Hate to love and love to hate her|-|Like a broken record player|-|Back and forth and here and gone|-|And on and on and on and on|-|I cannot forget, refuse to regret|-|So glad I met you and|-|Take my breath away, make everyday|-|Worth all of the pain that I've gone through|-|And mama, I've been cryin'|-|'Cause things ain't how they used to be|-|She said, the battle's almost won|-|And we're only several miles|-|She said, the battle's almost won|-|And we're only several miles from the sun"
158,The Way I Was,"Making love to a picture frame one more time, tonight|-|You can tell by the lines in your smile something is not right|-|Where are you hiding?|-|She's on the outside|-|I'm on the inside, crying|-|Just another crazy boy, hungry for you're...|-|Hot love|-|Wrap yourself around me like a, warm glove|-|Your emptiness needs me and I'm filled up|-|Never need to go to back to the way I was|-|The way I was|-|I've tried and tried and tried and tried|-|But I know no concept of consequence|-|And I'm a master of self defense|-|Days get longer|-|Life gets shorter|-|She treats me like no other|-|So old|-|Dripping from head to toe|-|Where are you hiding?|-|She's on the outside|-|I'm on the inside|-|Hot love|-|Wrap yourself around me like a, warm glove|-|Your emptiness meets me and I'm filled up|-|Never need to go to back to the way I was|-|The way I was|-|Hot love|-|Wrap yourself around me like a warm glove|-|Your emptiness needs me and I'm filled up|-|Never need to go to back to the way I was|-|The way I was|-|Now I can't make the same mistake|-|If ya lose my love it was yours to take|-|Break down your door|-|Take a little more with,|-|I need you around|-|And I'm so terrified of leaving|-|It's a, new love|-|Try and pick me up again but|-|Let go|-|See how far I get without you|-|Desperately need more of your|-|Hot love|-|Wrap yourself around me like a, warm glove|-|Your emptiness needs me and I'm filled up|-|Never need to go to back to the way I was|-|The way I was|-|Hot love|-|Wrap yourself around me like a, warm glove|-|Your emptiness needs me and I'm filled up|-|Never need to go to back to the way I was|-|The way I was"
159,The Way You Look Tonight,"Some day, when I'm awfully low|-|When the world is cold|-|I will feel a glow just thinking of you|-|And the way you look tonight|-|You're lovely with your smile so warm|-|And your cheeks so soft|-|There is nothing for me but to love you|-|And the way you look tonight|-|With each word, your tenderness grows|-|Tearing my fears apart|-|And that laugh that wrinkles your nose|-|Touches my foolish heart|-|Yes, you're lovely, never, ever change|-|Keep that breathless charm|-|Won't you please arrange it?|-|'Cause I love you|-|Just the way you look tonight|-|With each word, your tenderness grows|-|Tearing my fears apart|-|And that laugh that wrinkles your nose|-|Touches my foolish heart|-|Yes, you're lovely, never, ever change|-|Keep that breathless charm|-|Won't you please arrange it?|-|'Cause I love you|-|Just the way you look tonight|-|Just the way you look tonight|-|Darling, just the way you look tonight"
160,This Love,"I was so high I did not recognize|-|The fire burning in her eyes|-|The chaos that controlled my mind|-|Whispered goodbye as she got on a plane|-|Never to return again but always in my heart, oh|-|This love has taken its toll on me|-|She said goodbye too many times before|-|And her heart is breakin' in front of me|-|And I have no choice, 'cause I won't say goodbye anymore|-|Whoa, whoa, whoa|-|I tried my best to feed her appetite|-|Keep her coming every night|-|So hard to keep her satisfied, oh|-|Kept playing love like it was just a game|-|Pretending to feel the same|-|Then turn around and leave again, but uh-oh|-|This love has taken its toll on me|-|She said goodbye too many times before|-|And her heart is breakin' in front of me|-|And I have no choice, 'cause I won't say goodbye anymore|-|Whoa, whoa, whoa|-|I'll fix these broken things, repair your broken wings|-|And make sure everything's all right|-|(It's all right, it's all right)|-|My pressure on your hips, I'm sinking my fingertips into|-|Every inch of you|-|'Cause I know that's what you want me to do|-|This love has taken its toll on me|-|She said goodbye too many times before|-|Her heart is breakin' in front of me|-|And I have no choice, 'cause I won't say goodbye anymore|-|This love has taken its toll on me|-|She said goodbye too many times before|-|And my heart is breakin' in front of me|-|And she said goodbye too many times before|-|This love has taken its toll on me|-|She said goodbye too many times before|-|And her heart is breakin' in front of me|-|And I have no choice, 'cause I won't say goodbye anymore|-|This love has..."
161,This Love (Croatian Translation),"I was so high I did not recognize|-|The fire burning in her eyes|-|The chaos that controlled my mind|-|Whispered goodbye as she got on a plane|-|Never to return again|-|But always in my heart, oh!|-|This love has taken its toll on me|-|She said goodbye too many times before|-|And her heart is breaking in front of me|-|And I have no choice|-|Cause I won't say goodbye anymore|-|Whoa, oh, oh.|-|Whoa, oh, oh.|-|Whoa, oh, oh.|-|I tried my best to feed her appetite|-|Keep her coming every night|-|So hard to keep her satisfied, oh!|-|Kept playing love like it was just a game|-|Pretending to feel the same|-|Then turn around and leave again|-|But oh, ohh.|-|This love has taken its toll on me|-|She said goodbye too many times before|-|And her heart is breaking in front of me|-|And I have no choice|-|Cause I won't say goodbye anymore|-|Whoa, oh, oh.|-|Whoa, oh, oh.|-|Whoa, oh, oh.|-|I'll fix these broken things|-|Repair your broken wings|-|And make sure everything's alright|-|(It's alright, it's alright)|-|My pressure on your hips|-|Sinking my fingertips|-|Into every inch of you|-|Because I know that's what you want me to do|-|This love has taken its toll on me|-|She said goodbye too many times before|-|Her heart is breaking in front of me|-|And I have no choice|-|Cause I won't say goodbye anymore|-|This love has taken its toll on me|-|She said goodbye too many times before|-|And my heart is breaking in front of me|-|And she said goodbye too many times before|-|This love has taken its toll on me|-|She said goodbye too many times before|-|Her heart is breaking in front of me|-|And I have no choice|-|Cause I won't say goodbye anymore"
162,This Love (Demo),"I was so high I did not recognize|-|The fire burning in her eyes|-|The chaos that controlled my mind|-|Whispered goodbye as she got on a plane|-|Never to return again|-|But always in my heart, oh!|-|This love has taken its toll on me|-|She said goodbye too many times before|-|And her heart is breaking in front of me|-|And I have no choice|-|Cause I won't say goodbye anymore|-|Whoa, oh, oh.|-|Whoa, oh, oh.|-|Whoa, oh, oh.|-|I tried my best to feed her appetite|-|Keep her coming every night|-|So hard to keep her satisfied, oh!|-|Kept playing love like it was just a game|-|Pretending to feel the same|-|Then turn around and leave again|-|But oh, ohh.|-|This love has taken its toll on me|-|She said goodbye too many times before|-|And her heart is breaking in front of me|-|And I have no choice|-|Cause I won't say goodbye anymore|-|Whoa, oh, oh.|-|Whoa, oh, oh.|-|Whoa, oh, oh.|-|I'll fix these broken things|-|Repair your broken wings|-|And make sure everything's alright|-|(It's alright, it's alright)|-|My pressure on your hips|-|Sinking my fingertips|-|Into every inch of you|-|Because I know that's what you want me to do|-|This love has taken its toll on me|-|She said goodbye too many times before|-|Her heart is breaking in front of me|-|And I have no choice|-|Cause I won't say goodbye anymore|-|This love has taken its toll on me|-|She said goodbye too many times before|-|And my heart is breaking in front of me|-|And she said goodbye too many times before|-|This love has taken its toll on me|-|She said goodbye too many times before|-|Her heart is breaking in front of me|-|And I have no choice|-|Cause I won't say goodbye anymore"
163,This Love [Cut Copy Galactic Beach House Mix],"I was so high I did not recognize|-|The fire burning in her eyes|-|The chaos that controlled my mind|-|Whispered goodbye as she got on a plane|-|Never to return again but always in my heart, oh|-|This love has taken its toll on me|-|She said goodbye too many times before|-|And her heart is breakin' in front of me|-|And I have no choice, 'cause I won't say goodbye anymore|-|Whoa, whoa, whoa|-|I tried my best to feed her appetite|-|Keep her coming every night|-|So hard to keep her satisfied, oh|-|Kept playing love like it was just a game|-|Pretending to feel the same|-|Then turn around and leave again, but uh-oh|-|This love has taken its toll on me|-|She said goodbye too many times before|-|And her heart is breakin' in front of me|-|And I have no choice, 'cause I won't say goodbye anymore|-|Whoa, whoa, whoa|-|I'll fix these broken things, repair your broken wings|-|And make sure everything's all right|-|(It's all right, it's all right)|-|My pressure on your hips, I'm sinking my fingertips into|-|Every inch of you|-|'Cause I know that's what you want me to do|-|This love has taken its toll on me|-|She said goodbye too many times before|-|Her heart is breakin' in front of me|-|And I have no choice, 'cause I won't say goodbye anymore|-|This love has taken its toll on me|-|She said goodbye too many times before|-|And my heart is breakin' in front of me|-|And she said goodbye too many times before|-|This love has taken its toll on me|-|She said goodbye too many times before|-|Her heart is breakin' in front of me|-|But I have no choice, 'cause I won't say goodbye anymore|-|This love has taken its toll on me|-|She said goodbye too many times before|-|Her heart is breakin' in front of me|-|But I have no choice, 'cause I won't say goodbye anymore"
164,This Summer's Gonna Hurt,"This summer's gonna hurt like a mother...|-|f***er|-|This summer's gonna hurt like a mother...|-|f***er|-|Her body's hot|-|Her body's like the summer|-|I'm in a trance or something|-|Her mind is not, no|-|As sharp as all her diamonds|-|She must be smoking something|-|I see her dancing in the streets|-|Sipping champagne on the beach|-|So expensive when she eats|-|Cause she's so fancy|-|I see her when I go to sleep|-|I check my phone when I am weak|-|She never posts anything deep|-|Cause she's so fancy|-|[Hook]|-|She wants it all|-|She's always taking something|-|And now I'm left with nothing|-|I'm ripping off, oh|-|I'm ripping off that bandage|-|Because I just can't stand it|-|I see her dancing on a fool|-|Like she's seventeen and cool|-|She really thinks that she can move|-|But it's just nasty|-|I see her when I go to sleep|-|I check my phone when I am weak|-|She never posts anything deep|-|Cause she's so fancy|-|[Hook]|-|Has to have it all|-|Chases every star|-|She's so popular|-|(Whoo!)|-|Has to have it all|-|Chases every star|-|She's so popular|-|(Ohh)|-|This summer's gonna hurt|-|It's gonna hurt|-|I see her dancing in the street|-|Sipping champagne on the beach|-|So expensive when she eats|-|Cause she's so fancy|-|Cause she's so fancy|-|[Hook x2]|-|This summer's gonna hurt like a mother..."
165,This Summer's Gonna Hurt Like A Motherfucker,"This summer's gonna hurt like a motherfucker|-|Fucker|-|This summer's gonna hurt like a motherfucker|-|Fucker|-|Her body's hot|-|Her body's like the summer|-|I'm in a trance or something|-|Her mind is not, no|-|As sharp as all her diamonds|-|She must be smoking something|-|I see her dancing in the streets|-|Sipping champagne on the beach|-|So expensive when she eats|-|'Cause she's so fancy|-|I see her when I go to sleep|-|I check my phone when I am weak|-|She never posts anything deep|-|'Cause she's so fancy|-|This summer's gonna hurt like a motherfucker|-|Fucker|-|This summer's gonna hurt like a motherfucker|-|Fucker|-|She wants it all|-|She's always taking something|-|And now I'm left with nothing|-|I'm ripping off, oh|-|I'm ripping off that bandage|-|Because I just can't stand it|-|I see her dancing on a fool|-|Like she's seventeen and cool|-|She really thinks that she can move|-|But it's just nasty|-|I see her when I go to sleep|-|I check my phone when I am weak|-|She never posts anything deep|-|'Cause she's so fancy|-|This summer's gonna hurt like a motherfucker|-|Fucker|-|This summer's gonna hurt like a motherfucker|-|Fucker|-|Has to have it all|-|Chases every star|-|She's so popular|-|Has to have it all|-|Chases every star|-|She's so popular, oh|-|This summer's gonna hurt|-|It's gonna hurt|-|I see her dancing in the street|-|Sipping champagne on the beach|-|So expensive when she eats|-|'Cause she's so fancy|-|'Cause she's so fancy|-|This summer's gonna hurt like a motherfucker|-|Fucker|-|This summer's gonna hurt like a motherfucker|-|Fucker|-|This summer's gonna hurt like a motherfucker|-|Fucker|-|This summer's gonna hurt like a motherfucker|-|Fucker|-|This summer's gonna hurt like a motherfucker"
166,Three Little Birds,"Don't worry about a thing|-|Cause every little thing is gonna be alright|-|But don't worry about a thing, hey|-|Cause every little thing is gonna be alright, oh|-|Rise up this morning, smiled with the rising sun|-|Three little birds, by my doorstep|-|Singing sweet songs, of melodies pure and sure|-|Saying, ""this is my message to you""|-|Singing: ""Don't worry about a thing, oh-oh|-|Cause every little thing is gonna be alright, yeah yeah|-|But don't worry about a thing|-|Cause every little thing is gonna be alright"", yeah|-|Rise up this morning, smiled with the rising sun|-|Three little birds, by my doorstep, oh|-|Singing sweet songs, of melodies pure and sure|-|Saying, ""This is my message to you""|-|Singing: ""Don't worry about a thing, oh|-|Cause every little thing is gonna be alright, yeah yeah|-|But don't worry about a thing, oh|-|Cause every little thing is gonna be alright"", yeah|-|Baby, don't worry about a thing|-|Cause every little thing is gonna be alright, yeah yeah yeah yeah|-|Don't worry about a thing|-|Cause every little thing is gonna be alright, yeah|-|Don't worry about a thing|-|Cause every little thing is gonna be alright, yeah|-|Don't worry about a thing|-|Cause every little thing is gonna be alright, yeah"
167,Through With You,"Can you see me|-|Floating above your head|-|As you lay in bed|-|Thinking about everything|-|That you did not do|-|Cause saying I love you|-|Has nothing to do with meaning it|-|And I don't trust you|-|Cause everytime you're here|-|Your intentions are unclear|-|I spend every hour waiting for a phone call|-|That I know will never come|-|I used to think that you were the one|-|Now I'm sick of thinking anything at all|-|You ain't ever coming back to me|-|That's not how things were supposed to be|-|You take my hand just to give it back|-|No other lover has ever done that|-|Do you remember|-|The way we used to melt|-|Do you remember how it felt|-|When I touched you, oh|-|Cause I remember very well|-|And how long has it been|-|Since someone you let in|-|Has given what I gave to you|-|And at night when you sleep|-|Did you dream I would be there|-|Just for a minute or two, do you?|-|You ain't ever coming back to me|-|That's not how things were supposed to be|-|You take my hand just to give it back|-|No other lover has ever done that|-|Heartache, heartache, I just have so much|-|A simple love with a complex touch|-|There is nothing you can say or do|-|I called to let you know I'm through with you|-|You ain't ever coming back to me|-|That's not how things were supposed to be|-|You take my hand just to give it back|-|No other lover has ever done that|-|Heartache, heartache, I just have so much|-|A simple love with a complex touch|-|There is nothing you can say or do|-|I called to let you know I'm through|-|I called to let you know I'm through|-|I called to let you know I'm through with you|-|I ain't ever coming back to you"
168,Through With You (Demo),"Can you see me floating above your head?|-|As you lay in bed, thinking about everything that you did not do|-|'Cause saying I love you has nothing to do with meaning it, ohh|-|And I don't trust you|-|'Cause every time you're here|-|Your intentions are unclear|-|I spend every hour waiting for a phone call|-|That I know will never come|-|I used to think you were the one|-|Now I'm sick of thinking anything at all|-|You ain't never coming back to me|-|That's not how things were supposed to be|-|You take my hand just to give it back|-|No other lover has ever done that|-|Do you remember the way we used to melt?|-|Do you remember how it felt when I touched you?|-|Oh, 'cause I remember very well|-|And how long has it been|-|Since someone you let in|-|Has given what I gave to you?|-|And at night, when you sleep|-|Did you dream I would be there|-|Just for a minute or two, do you?|-|You ain't never coming back to me|-|That's not how things were supposed to be|-|You take my hand just to give it back|-|No other lover has ever done that|-|Heartache, heartache, I just have so much|-|A simple love with a complex touch|-|There is nothing you can say or do|-|I called to let you know I'm through with you, ohh|-|You ain't never coming back to me|-|That's not how things were supposed to be|-|You take my hand just to give it back|-|No other lover has ever done that|-|Heartache, heartache, I just have so much|-|A simple love with a complex touch|-|There is nothing you can say or do|-|I called to let you know I'm through|-|I called to let you know I'm through|-|I called to let you know I'm through with you|-|I ain't ever coming back to you"
169,Tickets,"She's got tickets to her own show|-|But nobody wants to go|-|And I'm stuck sitting in the front row|-|I'm singing along like there's no tomorrow|-|It's funny how you say that you made it on your own|-|When you haven't worked for anyone your daddy didn't know|-|You say you got a job but I don't know what you do|-|Such a fu-fu-fucking snob that you'll never know the truth|-|You're perfect on the outside, but nothing at the core|-|It's easy to forget when you show up at my door|-|Stop messing with my mind cause you'll never have my heart|-|But your perfect little body ma-ma-makes me fall apart|-|Your perfect little body ma-ma-makes me fall apart|-|She's got tickets to her own show|-|But nobody wants to go|-|And I'm stuck sitting in the front row|-|I'm singing along like there's no tomorrow|-|La la lala la la la laaa|-|La la la laaaa|-|I know you wanna stay but I think that you should go|-|Cause you got nothing to say, you just sit there on your phone|-|I try not to give in but temptation has me lost|-|So I will do my best to ge-ge-ge-ge-get you off|-|You're perfect on the outside but nothing at the core|-|It's easy to forget when you show up at my door|-|Stop messing with my mind cause you'll never have my heart|-|But your perfect little body ma-ma-makes me fall apart|-|Your perfect little body ma-ma-makes me fall apart|-|She's got tickets to her own show|-|But nobody wants to go|-|And I'm stuck sitting in the front row|-|I'm singing along like there's no tomorrow|-|La la lala la la la laaa|-|La la la laaaa|-|La la lala la la la laaa|-|La la lala la la la|-|La la lala la la la laaa|-|La la lala la la la|-|Yeah...|-|She's got tickets to her own show|-|But nobody wants to go|-|And I'm stuck sitting in the front row|-|I'm singing along like there's no tomorrow|-|She's got tickets to her own show|-|But nobody wants to go|-|And I'm stuck sitting in the front row|-|I'm singing along like there's no tomorrow|-|La la lala la la la laaa|-|La la lala la la la laaa|-|La la lala la la la laaa|-|La la lala la la la laaa"
170,Towering Over Rivals,"I didn't hear what you were saying|-|I live on raw emotion, baby|-|I answer questions, never maybe|-|And I'm not kind if you betray me|-|So who the hell are you to save me?|-|I never would've made it, baby|-|If you needed love, well then ask for love|-|Could've given love, now I'm taking love|-|And it's not my fault, cause you both deserve|-|What's coming now, so don't say a word|-|Wake up call, caught you in the morning|-|With another one in my bed|-|Don't you care about me anymore?|-|Don't you care about me? I don't think so|-|Six foot tall, came without a warning|-|So I had to shoot him dead|-|He won't come around here anymore|-|Come around here, I don't think so|-|I would've bled to make you happy|-|You didn't need to treat me that way|-|And now you've beat me at my own, game|-|And now I found you sleeping sound|-|And now your love is screaming loudly|-|I hear a sound and hit the ground|-|If you needed love, well then ask for love|-|Could've given love, now I'm taking love|-|And it's not my fault, cause you both deserve|-|What's coming now, so don't say a word|-|Wake up call, caught you in the morning|-|With another one in my bed|-|Don't you care about me anymore?|-|Don't you care about me? I don't think so|-|Six foot tall, came without a warning|-|So I had to shoot him dead|-|He won't come around here anymore|-|Come around here, I don't feel so bad|-|I don't feel so bad|-|I don't feel so bad|-|I'm so sorry, darling|-|Did I do the wrong thing?|-|Oh, what was I thinking?|-|Is his heart still beating?|-|Wake up call, caught you in the morning|-|With another one in my bed|-|Don't you care about me anymore?|-|Don't you care about me? I don't think so|-|Six foot tall, came without a warning|-|So I had to shoot him dead|-|He won't come around here anymore|-|Come around here, I don't feel so bad|-|Wake up call, caught you in the morning|-|With another one in my bed|-|Don't you care about me anymore?|-|Don't you care about me? I don't think so|-|Six foot tall, came without a warning|-|So I had to shoot him dead|-|He won't come around here anymore|-|No, he won't come around here|-|I don't feel so bad|-|Don't feel so bad|-|Don't feel so bad"
172,Unkiss Me,"If you respect me|-|Don't protect me|-|You can tell me, I can handle it|-|Stop pretending, 'cause we're going down|-|If you let go, then just let go|-|It's disrespectful how you've handled this|-|Never ending, kinda run around|-|I lie to my heart 'cause I thought you felt it|-|You can't light a fire, if the candle's melted|-|No you don't have to love me|-|If you don't wanna|-|Don't act like I mean nothing|-|But if you're gonna|-|Well, when you're better off|-|Unkiss me, untouch me|-|Untake this heart|-|And I'm missing|-|Just one thing|-|A brand new star|-|Can't erase this, can't delete this|-|I don't need this, I can't handle it|-|I just feel it, that you're over us|-|If I wait here, if I see you|-|It won't matter, what's the point of this?|-|We're in pieces, because you're over us, oh|-|I lie to my heart 'cause I thought you felt it|-|You can't light a fire, if the candle's melted|-|No you don't have to love me|-|If you don't wanna|-|Don't act like I mean nothing|-|But if you're gonna|-|Well, when you're better off|-|Unkiss me, untouch me|-|Untake this heart, yeah yeah|-|And I'm missing|-|Just one thing|-|A brand new star|-|So unkiss me|-|So unkiss me, yeah, yeah yeah|-|So baby let go|-|Gotta let go|-|It's disrespectful, I can't handle this|-|Never ending, kinda run around|-|Yeah, unkiss me, untouch me|-|Untake this heart, oh no no no no|-|And I'm missing (I'm missing)|-|Just one thing|-|A brand new star|-|So unkiss me|-|So unkiss me|-|Unkiss me"
173,Until You're Over Me,This relationship is over|-|Though my stomach still hurts|-|And now I've grown a little older|-|Why is the pain much worse?|-|You look so much better without makeup|-|Why would you hide your face?|-|Don't wanna spend the night and wake up|-|Realize you've made a big mistake|-|Oh|-|I cannot refuse your eyes|-|Please don't look at me tonight|-|My heart beats fast I know you're there|-|I pretend like I don't care|-|It hurts so bad to know the truth|-|But I am still in love with you|-|I never meant to keep you waiting|-|And now your food is getting cold|-|I keep denying I'm in love with you|-|My routine is getting old|-|And now you stand in front of the table|-|And say you never look back|-|Do something stupid when you're angry|-|You only wake up sad|-|Oh|-|I cannot refuse your eyes|-|Please don't look at me tonight|-|My heart beats fast I know you're there|-|And I pretend like I don't care|-|It hurts so bad to know the truth|-|But girl I'm still in love with you|-|It hurts too much to know the truth|-|But girl I'm still in love with you|-|No more kisses on your lips|-|No tender touches please|-|I'd rather die on my two feet|-|Than live down on my knees|-|And all because you get me|-|Opened up and start to bleed|-|And I just can't get over you|-|Until you're over me|-|I cannot refuse your eyes|-|Please don't look at me tonight|-|My heart beats fast I know you're there|-|And I pretend like I don't care|-|And I cannot refuse your eyes|-|Please don't look at me tonight|-|My heart beats fast I know you're there|-|And I pretend like I don't care|-|It hurts too much to know the truth|-|But girl I'm still in love with you|-|It hurts too much to know the truth|-|But girl I'm still in love with you
174,Visions,"I keep seeing visions of you|-|Visions of, visions of you|-|I keep getting stuck in this day|-|Stuck in this deja-vu|-|It's like I'm never riding solo|-|I feel you walking in my shadow|-|Never hit me quite like that though|-|'Cause now I'm under your spell|-|Late nights and I can't sleep|-|Choked up and I can't breathe|-|No one that can save me|-|'Cause now I'm under your spell|-|I keep seeing visions of you|-|Visions of, visions of you|-|I keep getting stuck in this day|-|Stuck in this deja-vu|-|Even in my darkest hour|-|Even when I know it can't be true|-|I keep seeing visions of you|-|Visions of, visions of you|-|Oh oh oh oh, oh oh oh|-|Oh oh oh oh, oh oh oh|-|Oh oh oh oh, oh oh oh|-|(I keep seeing visions of you)|-|I keep saying that I'm okay|-|They never go, so I pray|-|Dear lord, I hope that one day|-|I get you out of my head|-|Late nights and I can't sleep|-|Choked up and I can't breathe|-|No one that can save me|-|'Cause now I'm under your spell|-|I keep seeing visions of you|-|Visions of, visions of you (yeah, yeah)|-|I keep getting stuck in this day|-|Stuck in this deja-vu|-|Even in my darkest hour|-|Even when I know it can't be true|-|I keep seeing visions of you|-|Visions of, visions of you|-|Oh oh oh oh, oh oh oh|-|Oh oh oh oh, oh oh oh|-|Oh oh oh oh, oh oh oh|-|(I keep seeing visions of you)|-|You're a mirage|-|It's all in my mind|-|This is just love playing tricks on my eyes|-|You're a mirage|-|It's all in my mind|-|Why can't I seem to let go|-|You're a mirage|-|It's all in my mind|-|This is just love playing tricks on my eyes|-|You're a mirage|-|It's all in my mind|-|Why can't I seem to let go|-|I keep seeing visions of you|-|Visions of, visions of you|-|I keep getting stuck in this day|-|Stuck in this deja-vu|-|Even in my darkest hour|-|Even when I know it can't be true|-|I keep seeing visions of you|-|Visions of, visions of you|-|Oh oh oh oh, oh oh oh|-|Oh oh oh oh, oh oh oh|-|Oh oh oh oh, oh oh oh|-|I keep seeing visions of you|-|Oh oh oh oh, oh oh oh|-|Oh oh oh oh, oh oh oh|-|Oh oh oh oh, oh oh oh|-|I keep seeing visions of you|-|Visions of, visions of you"
